"SPE号","ATM数据","百分比","适配层/百分比例","VPI/VCI","承载格式","协议/端口","比例","主要IP","主要用户"
"STM-1 SPE(155M)","有效数据","AAL数量: 3967156396字节, 比例: 27.94%","AAL1数量: 2641731200字节, 比例: 66.59%","0000: 0244","(2012-6-1)AAL1结构化24",""," 数量：4090835968字节, 比例：6.45%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3967156396字节, 比例: 27.94%","AAL1数量: 2641731200字节, 比例: 66.59%","0000: 0298","(2012-6-1)AAL1结构化24",""," 数量：4090900480字节, 比例：6.45%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3967156396字节, 比例: 27.94%","AAL1数量: 2641731200字节, 比例: 66.59%","0000: 0356","(2012-6-1)AAL1结构化24",""," 数量：4091084800字节, 比例：6.45%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3967156396字节, 比例: 27.94%","AAL1数量: 2641731200字节, 比例: 66.59%","0000: 0243","(2012-6-1)AAL1结构化24",""," 数量：4090451968字节, 比例：6.45%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3967156396字节, 比例: 27.94%","AAL1数量: 2641731200字节, 比例: 66.59%","0000: 0384","(2012-6-1)AAL1结构化24",""," 数量：135860224字节, 比例：0.21%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3967156396字节, 比例: 27.94%","AAL1数量: 2641731200字节, 比例: 66.59%","0000: 0244","(2012-6-1)AAL1结构化24",""," 数量：4090835968字节, 比例：6.45%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3967156396字节, 比例: 27.94%","AAL1数量: 2641731200字节, 比例: 66.59%","0000: 0298","(2012-6-1)AAL1结构化24",""," 数量：4090900480字节, 比例：6.45%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3967156396字节, 比例: 27.94%","AAL1数量: 2641731200字节, 比例: 66.59%","0000: 0356","(2012-6-1)AAL1结构化24",""," 数量：4091084800字节, 比例：6.45%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3967156396字节, 比例: 27.94%","AAL1数量: 2641731200字节, 比例: 66.59%","0000: 0243","(2012-6-1)AAL1结构化24",""," 数量：4090451968字节, 比例：6.45%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3967156396字节, 比例: 27.94%","AAL1数量: 2641731200字节, 比例: 66.59%","0000: 0384","(2012-6-1)AAL1结构化24",""," 数量：135860224字节, 比例：0.21%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3967156396字节, 比例: 27.94%","AAL2数量: 1246107634字节, 比例: 31.41%","0000: 0184; CID编号: 11","(2012-6-1)标准AAL2; CID承载业务G711 PCM U律","","数量：489234556字节, 比例：1.64% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3967156396字节, 比例: 27.94%","AAL2数量: 1246107634字节, 比例: 31.41%","0000: 00FC; CID编号: 11","(2012-6-1)标准AAL2; CID承载业务G711 PCM U律","","数量：489905120字节, 比例：1.64% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3967156396字节, 比例: 27.94%","AAL2数量: 1246107634字节, 比例: 31.41%","0000: 00FC; CID编号: 12","(2012-6-1)标准AAL2; CID承载业务G711 PCM U律","","数量：490206676字节, 比例：1.64% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3967156396字节, 比例: 27.94%","AAL2数量: 1246107634字节, 比例: 31.41%","0000: 00FC; CID编号: 13","(2012-6-1)标准AAL2; CID承载业务G711 PCM U律","","数量：490205260字节, 比例：1.64% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3967156396字节, 比例: 27.94%","AAL2数量: 1246107634字节, 比例: 31.41%","0000: 00FC; CID编号: 14","(2012-6-1)标准AAL2; CID承载业务G711 PCM U律","","数量：490204952字节, 比例：1.64% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3967156396字节, 比例: 27.94%","AAL2数量: 1246107634字节, 比例: 31.41%","0000: 00FC; CID编号: 15","(2012-6-1)标准AAL2; CID承载业务G711 PCM U律","","数量：490481444字节, 比例：1.64% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3967156396字节, 比例: 27.94%","AAL2数量: 1246107634字节, 比例: 31.41%","0000: 00FC; CID编号: 16","(2012-6-1)标准AAL2; CID承载业务G711 PCM U律","","数量：490498956字节, 比例：1.64% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3967156396字节, 比例: 27.94%","AAL2数量: 1246107634字节, 比例: 31.41%","0000: 00FC; CID编号: 17","(2012-6-1)标准AAL2; CID承载业务G711 PCM U律","","数量：490504676字节, 比例：1.64% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3967156396字节, 比例: 27.94%","AAL2数量: 1246107634字节, 比例: 31.41%","0000: 00FC; CID编号: 18","(2012-6-1)标准AAL2; CID承载业务G711 PCM U律","","数量：490385156字节, 比例：1.64% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3967156396字节, 比例: 27.94%","AAL2数量: 1246107634字节, 比例: 31.41%","0000: 00FC; CID编号: 19","(2012-6-1)标准AAL2; CID承载业务G711 PCM U律","","数量：490526460字节, 比例：1.64% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3967156396字节, 比例: 27.94%","AAL2数量: 1246107634字节, 比例: 31.41%","0000: 00FC; CID编号: 20","(2012-6-1)标准AAL2; CID承载业务G711 PCM U律","","数量：490553528字节, 比例：1.64% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3967156396字节, 比例: 27.94%","AAL2数量: 1246107634字节, 比例: 31.41%","0000: 00FC; CID编号: 21","(2012-6-1)标准AAL2; CID承载业务G711 PCM U律","","数量：490557812字节, 比例：1.64% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3967156396字节, 比例: 27.94%","AAL2数量: 1246107634字节, 比例: 31.41%","0000: 00FC; CID编号: 22","(2012-6-1)标准AAL2; CID承载业务G711 PCM U律","","数量：490555992字节, 比例：1.64% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3967156396字节, 比例: 27.94%","AAL2数量: 1246107634字节, 比例: 31.41%","0000: 00FC; CID编号: 23","(2012-6-1)标准AAL2; CID承载业务G711 PCM U律","","数量：490500056字节, 比例：1.64% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3967156396字节, 比例: 27.94%","AAL2数量: 1246107634字节, 比例: 31.41%","0000: 00FC; CID编号: 24","(2012-6-1)标准AAL2; CID承载业务G711 PCM U律","","数量：490096804字节, 比例：1.64% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3967156396字节, 比例: 27.94%","AAL2数量: 1246107634字节, 比例: 31.41%","0000: 00FC; CID编号: 25","(2012-6-1)标准AAL2; CID承载业务G711 PCM U律","","数量：490497636字节, 比例：1.64% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3967156396字节, 比例: 27.94%","AAL2数量: 1246107634字节, 比例: 31.41%","0000: 00FC; CID编号: 26","(2012-6-1)标准AAL2; CID承载业务G711 PCM U律","","数量：490102308字节, 比例：1.64% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3967156396字节, 比例: 27.94%","AAL2数量: 1246107634字节, 比例: 31.41%","0000: 00FC; CID编号: 27","(2012-6-1)标准AAL2; CID承载业务G711 PCM U律","","数量：490852048字节, 比例：1.64% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3967156396字节, 比例: 27.94%","AAL2数量: 1246107634字节, 比例: 31.41%","0000: 00FC; CID编号: 28","(2012-6-1)标准AAL2; CID承载业务G711 PCM U律","","数量：490810144字节, 比例：1.64% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3967156396字节, 比例: 27.94%","AAL2数量: 1246107634字节, 比例: 31.41%","0000: 00FC; CID编号: 29","(2012-6-1)标准AAL2; CID承载业务G711 PCM U律","","数量：490842376字节, 比例：1.64% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3967156396字节, 比例: 27.94%","AAL2数量: 1246107634字节, 比例: 31.41%","0000: 00FC; CID编号: 30","(2012-6-1)标准AAL2; CID承载业务G711 PCM U律","","数量：490815668字节, 比例：1.64% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3967156396字节, 比例: 27.94%","AAL2数量: 1246107634字节, 比例: 31.41%","0000: 00FC; CID编号: 31","(2012-6-1)标准AAL2; CID承载业务G711 PCM U律","","数量：490830292字节, 比例：1.64% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3967156396字节, 比例: 27.94%","AAL2数量: 1246107634字节, 比例: 31.41%","0000: 00FC; CID编号: 32","(2012-6-1)标准AAL2; CID承载业务G711 PCM U律","","数量：489919656字节, 比例：1.64% ","",""
