"SPE号","ATM数据","百分比","适配层/百分比例","VPI/VCI","承载格式","协议/端口","比例","主要IP","主要用户"
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL1数量: 2879744字节, 比例: 46.09%","0000: 0DC9","(2012-6-22)AAL1结构化24",""," 数量：27165696字节, 比例：39.31%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL1数量: 2879744字节, 比例: 46.09%","0000: 3399","(2012-6-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：672768字节, 比例：0.97%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL1数量: 2879744字节, 比例: 46.09%","0000: 0DDF","(2012-6-22)AAL1结构化24",""," 数量：27162624字节, 比例：39.30%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL1数量: 2879744字节, 比例: 46.09%","0000: 3379","(2012-6-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：503808字节, 比例：0.73%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL1数量: 2879744字节, 比例: 46.09%","0000: 338E","(2012-6-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：488448字节, 比例：0.71%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL1数量: 2879744字节, 比例: 46.09%","0000: 3395","(2012-6-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：500736字节, 比例：0.72%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL1数量: 2879744字节, 比例: 46.09%","0000: 337B","(2012-6-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：663552字节, 比例：0.96%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL1数量: 2879744字节, 比例: 46.09%","0000: 337A","(2012-6-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：494592字节, 比例：0.72%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL1数量: 2879744字节, 比例: 46.09%","0000: 3392","(2012-6-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：500736字节, 比例：0.72%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL1数量: 2879744字节, 比例: 46.09%","0000: 337F","(2012-6-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：497664字节, 比例：0.72%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL1数量: 2879744字节, 比例: 46.09%","0000: 3381","(2012-6-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：663552字节, 比例：0.96%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL1数量: 2879744字节, 比例: 46.09%","0000: 3380","(2012-6-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：1032192字节, 比例：1.49%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL1数量: 2879744字节, 比例: 46.09%","0000: 3383","(2012-6-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：497664字节, 比例：0.72%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL1数量: 2879744字节, 比例: 46.09%","0000: 3394","(2012-6-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：491520字节, 比例：0.71%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL1数量: 2879744字节, 比例: 46.09%","0000: 3384","(2012-6-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：506880字节, 比例：0.73%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL1数量: 2879744字节, 比例: 46.09%","0000: 3382","(2012-6-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：1032192字节, 比例：1.49%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL1数量: 2879744字节, 比例: 46.09%","0000: 337D","(2012-6-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：500736字节, 比例：0.72%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL1数量: 2879744字节, 比例: 46.09%","0000: 3396","(2012-6-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：488448字节, 比例：0.71%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL1数量: 2879744字节, 比例: 46.09%","0000: 3398","(2012-6-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：503808字节, 比例：0.73%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL1数量: 2879744字节, 比例: 46.09%","0000: 3390","(2012-6-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：497664字节, 比例：0.72%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL1数量: 2879744字节, 比例: 46.09%","0000: 338F","(2012-6-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：534528字节, 比例：0.77%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL1数量: 2879744字节, 比例: 46.09%","0000: 339A","(2012-6-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：494592字节, 比例：0.72%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL1数量: 2879744字节, 比例: 46.09%","0000: 3397","(2012-6-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：528384字节, 比例：0.76%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL1数量: 2879744字节, 比例: 46.09%","0000: 3391","(2012-6-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：952320字节, 比例：1.38%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL1数量: 2879744字节, 比例: 46.09%","0000: 3393","(2012-6-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：789504字节, 比例：1.14%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL1数量: 2879744字节, 比例: 46.09%","0000: 337C","(2012-6-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：949248字节, 比例：1.37%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL1数量: 2879744字节, 比例: 46.09%","0000: 0DC9","(2012-6-22)AAL1结构化24",""," 数量：27165696字节, 比例：39.31%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL1数量: 2879744字节, 比例: 46.09%","0000: 3399","(2012-6-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：672768字节, 比例：0.97%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL1数量: 2879744字节, 比例: 46.09%","0000: 0DDF","(2012-6-22)AAL1结构化24",""," 数量：27162624字节, 比例：39.30%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL1数量: 2879744字节, 比例: 46.09%","0000: 3379","(2012-6-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：503808字节, 比例：0.73%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL1数量: 2879744字节, 比例: 46.09%","0000: 338E","(2012-6-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：488448字节, 比例：0.71%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL1数量: 2879744字节, 比例: 46.09%","0000: 3395","(2012-6-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：500736字节, 比例：0.72%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL1数量: 2879744字节, 比例: 46.09%","0000: 337B","(2012-6-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：663552字节, 比例：0.96%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL1数量: 2879744字节, 比例: 46.09%","0000: 337A","(2012-6-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：494592字节, 比例：0.72%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL1数量: 2879744字节, 比例: 46.09%","0000: 3392","(2012-6-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：500736字节, 比例：0.72%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL1数量: 2879744字节, 比例: 46.09%","0000: 337F","(2012-6-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：497664字节, 比例：0.72%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL1数量: 2879744字节, 比例: 46.09%","0000: 3381","(2012-6-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：663552字节, 比例：0.96%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL1数量: 2879744字节, 比例: 46.09%","0000: 3380","(2012-6-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：1032192字节, 比例：1.49%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL1数量: 2879744字节, 比例: 46.09%","0000: 3383","(2012-6-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：497664字节, 比例：0.72%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL1数量: 2879744字节, 比例: 46.09%","0000: 3394","(2012-6-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：491520字节, 比例：0.71%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL1数量: 2879744字节, 比例: 46.09%","0000: 3384","(2012-6-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：506880字节, 比例：0.73%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL1数量: 2879744字节, 比例: 46.09%","0000: 3382","(2012-6-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：1032192字节, 比例：1.49%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL1数量: 2879744字节, 比例: 46.09%","0000: 337D","(2012-6-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：500736字节, 比例：0.72%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL1数量: 2879744字节, 比例: 46.09%","0000: 3396","(2012-6-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：488448字节, 比例：0.71%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL1数量: 2879744字节, 比例: 46.09%","0000: 3398","(2012-6-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：503808字节, 比例：0.73%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL1数量: 2879744字节, 比例: 46.09%","0000: 3390","(2012-6-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：497664字节, 比例：0.72%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL1数量: 2879744字节, 比例: 46.09%","0000: 338F","(2012-6-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：534528字节, 比例：0.77%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL1数量: 2879744字节, 比例: 46.09%","0000: 339A","(2012-6-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：494592字节, 比例：0.72%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL1数量: 2879744字节, 比例: 46.09%","0000: 3397","(2012-6-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：528384字节, 比例：0.76%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL1数量: 2879744字节, 比例: 46.09%","0000: 3391","(2012-6-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：952320字节, 比例：1.38%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL1数量: 2879744字节, 比例: 46.09%","0000: 3393","(2012-6-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：789504字节, 比例：1.14%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL1数量: 2879744字节, 比例: 46.09%","0000: 337C","(2012-6-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：949248字节, 比例：1.37%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 6248290字节, 比例: 23.34%","AAL2数量: 3362810字节, 比例: 53.82%","0000: 3386; CID编号: 11","(2012-6-22)标准AAL2; CID承载业务G711 PCM U律","","数量：384864字节, 比例：0.48% ","",""
