"SPE号","ATM数据","百分比","适配层/百分比例","VPI/VCI","承载格式","协议/端口","比例","主要IP","主要用户"
"STM-1 SPE(155M)","有效数据","AAL数量: 4438878170字节, 比例: 21.85%","AAL1数量: 2242392448字节, 比例: 50.52%","0000: 057C","(2012-6-17)AAL1结构化24",""," 数量：373869568字节, 比例：0.69%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 4438878170字节, 比例: 21.85%","AAL1数量: 2242392448字节, 比例: 50.52%","0000: 0244","(2012-6-17)AAL1结构化24",""," 数量：381088768字节, 比例：0.71%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 4438878170字节, 比例: 21.85%","AAL1数量: 2242392448字节, 比例: 50.52%","0000: 07B6","(2012-6-17)AAL1结构化24",""," 数量：379964416字节, 比例：0.71%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 4438878170字节, 比例: 21.85%","AAL1数量: 2242392448字节, 比例: 50.52%","0000: 0804","(2012-6-17)AAL1结构化24",""," 数量：387902464字节, 比例：0.72%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 4438878170字节, 比例: 21.85%","AAL1数量: 2242392448字节, 比例: 50.52%","0000: 05D5","(2012-6-17)AAL1结构化24",""," 数量：374318080字节, 比例：0.70%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 4438878170字节, 比例: 21.85%","AAL1数量: 2242392448字节, 比例: 50.52%","0000: 04A2","(2012-6-17)AAL1结构化24",""," 数量：380667904字节, 比例：0.71%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 4438878170字节, 比例: 21.85%","AAL1数量: 2242392448字节, 比例: 50.52%","0000: 057C","(2012-6-17)AAL1结构化24",""," 数量：373869568字节, 比例：0.69%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 4438878170字节, 比例: 21.85%","AAL1数量: 2242392448字节, 比例: 50.52%","0000: 0244","(2012-6-17)AAL1结构化24",""," 数量：381088768字节, 比例：0.71%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 4438878170字节, 比例: 21.85%","AAL1数量: 2242392448字节, 比例: 50.52%","0000: 07B6","(2012-6-17)AAL1结构化24",""," 数量：379964416字节, 比例：0.71%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 4438878170字节, 比例: 21.85%","AAL1数量: 2242392448字节, 比例: 50.52%","0000: 0804","(2012-6-17)AAL1结构化24",""," 数量：387902464字节, 比例：0.72%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 4438878170字节, 比例: 21.85%","AAL1数量: 2242392448字节, 比例: 50.52%","0000: 05D5","(2012-6-17)AAL1结构化24",""," 数量：374318080字节, 比例：0.70%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 4438878170字节, 比例: 21.85%","AAL1数量: 2242392448字节, 比例: 50.52%","0000: 04A2","(2012-6-17)AAL1结构化24",""," 数量：380667904字节, 比例：0.71%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 4438878170字节, 比例: 21.85%","AAL2数量: 2168180632字节, 比例: 48.85%","0000: 07C2; CID编号: 11","(2012-6-17)标准AAL2; CID承载业务G729","","数量：43409930字节, 比例：0.08% ","",""
