"SPE号","ATM数据","百分比","适配层/百分比例","VPI/VCI","承载格式","协议/端口","比例","主要IP","主要用户"
"第1个STS SPE(45M)","有效数据","AAL数量: 832659852字节, 比例: 7.02%","AAL1数量: 415093120字节, 比例: 49.85%","0000: 021D","(2012-12-23)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：130990080字节, 比例：1.31%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 832659852字节, 比例: 7.02%","AAL1数量: 415093120字节, 比例: 49.85%","0000: 01F3","(2012-12-23)AAL1结构化24",""," 数量：3468678144字节, 比例：34.82%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 832659852字节, 比例: 7.02%","AAL1数量: 415093120字节, 比例: 49.85%","0000: 01FF","(2012-12-23)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：130031616字节, 比例：1.31%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 832659852字节, 比例: 7.02%","AAL1数量: 415093120字节, 比例: 49.85%","0000: 4C7C","(2012-12-23)AAL1结构化24",""," 数量：3337638912字节, 比例：33.50%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 832659852字节, 比例: 7.02%","AAL1数量: 415093120字节, 比例: 49.85%","0000: 0235","(2012-12-23)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：130169856字节, 比例：1.31%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 832659852字节, 比例: 7.02%","AAL1数量: 415093120字节, 比例: 49.85%","0000: 0232","(2012-12-23)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：130944000字节, 比例：1.31%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 832659852字节, 比例: 7.02%","AAL1数量: 415093120字节, 比例: 49.85%","0000: 0211","(2012-12-23)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：129457152字节, 比例：1.30%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 832659852字节, 比例: 7.02%","AAL1数量: 415093120字节, 比例: 49.85%","0000: 0200","(2012-12-23)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：131091456字节, 比例：1.32%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 832659852字节, 比例: 7.02%","AAL1数量: 415093120字节, 比例: 49.85%","0000: 0218","(2012-12-23)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：131014656字节, 比例：1.32%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 832659852字节, 比例: 7.02%","AAL1数量: 415093120字节, 比例: 49.85%","0000: 021C","(2012-12-23)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：131008512字节, 比例：1.32%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 832659852字节, 比例: 7.02%","AAL1数量: 415093120字节, 比例: 49.85%","0000: 0228","(2012-12-23)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：130996224字节, 比例：1.31%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 832659852字节, 比例: 7.02%","AAL1数量: 415093120字节, 比例: 49.85%","0000: 0234","(2012-12-23)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：130996224字节, 比例：1.31%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 832659852字节, 比例: 7.02%","AAL1数量: 415093120字节, 比例: 49.85%","0000: 0233","(2012-12-23)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：130357248字节, 比例：1.31%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 832659852字节, 比例: 7.02%","AAL1数量: 415093120字节, 比例: 49.85%","0000: 020E","(2012-12-23)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：130956288字节, 比例：1.31%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 832659852字节, 比例: 7.02%","AAL1数量: 415093120字节, 比例: 49.85%","0000: 0230","(2012-12-23)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：151160832字节, 比例：1.52%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 832659852字节, 比例: 7.02%","AAL1数量: 415093120字节, 比例: 49.85%","0000: 021E","(2012-12-23)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：131060736字节, 比例：1.32%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 832659852字节, 比例: 7.02%","AAL1数量: 415093120字节, 比例: 49.85%","0000: 022F","(2012-12-23)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：130808832字节, 比例：1.31%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 832659852字节, 比例: 7.02%","AAL1数量: 415093120字节, 比例: 49.85%","0000: 022C","(2012-12-23)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：131131392字节, 比例：1.32%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 832659852字节, 比例: 7.02%","AAL1数量: 415093120字节, 比例: 49.85%","0000: 0229","(2012-12-23)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：130962432字节, 比例：1.31%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 832659852字节, 比例: 7.02%","AAL1数量: 415093120字节, 比例: 49.85%","0000: 022D","(2012-12-23)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：131011584字节, 比例：1.32%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 832659852字节, 比例: 7.02%","AAL1数量: 415093120字节, 比例: 49.85%","0000: 020D","(2012-12-23)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：130974720字节, 比例：1.31%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 832659852字节, 比例: 7.02%","AAL1数量: 415093120字节, 比例: 49.85%","0000: 022A","(2012-12-23)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：126590976字节, 比例：1.27%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 832659852字节, 比例: 7.02%","AAL1数量: 415093120字节, 比例: 49.85%","0000: 0231","(2012-12-23)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：131112960字节, 比例：1.32%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 832659852字节, 比例: 7.02%","AAL1数量: 415093120字节, 比例: 49.85%","0000: 0221","(2012-12-23)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：130950144字节, 比例：1.31%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 832659852字节, 比例: 7.02%","AAL1数量: 415093120字节, 比例: 49.85%","0000: 022E","(2012-12-23)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：131137536字节, 比例：1.32%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 832659852字节, 比例: 7.02%","AAL1数量: 415093120字节, 比例: 49.85%","0000: 022B","(2012-12-23)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：131002368字节, 比例：1.31%","",""
