"SPE号","ATM数据","百分比","适配层/百分比例","VPI/VCI","承载格式","协议/端口","比例","主要IP","主要用户"
"第1个STS SPE(45M)","有效数据","AAL数量: 1760876706字节, 比例: 11.59%","AAL1数量: 816418432字节, 比例: 46.36%","0000: 4C7C","(2012-12-17)AAL1结构化24",""," 数量：2143920128字节, 比例：10.94%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 1760876706字节, 比例: 11.59%","AAL1数量: 816418432字节, 比例: 46.36%","0000: 020E","(2012-12-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：279309312字节, 比例：1.43%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 1760876706字节, 比例: 11.59%","AAL1数量: 816418432字节, 比例: 46.36%","0000: 022C","(2012-12-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：277558272字节, 比例：1.42%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 1760876706字节, 比例: 11.59%","AAL1数量: 816418432字节, 比例: 46.36%","0000: 0229","(2012-12-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：279260160字节, 比例：1.43%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 1760876706字节, 比例: 11.59%","AAL1数量: 816418432字节, 比例: 46.36%","0000: 022E","(2012-12-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：279373824字节, 比例：1.43%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 1760876706字节, 比例: 11.59%","AAL1数量: 816418432字节, 比例: 46.36%","0000: 022F","(2012-12-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：277226496字节, 比例：1.41%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 1760876706字节, 比例: 11.59%","AAL1数量: 816418432字节, 比例: 46.36%","0000: 01FF","(2012-12-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：279014400字节, 比例：1.42%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 1760876706字节, 比例: 11.59%","AAL1数量: 816418432字节, 比例: 46.36%","0000: 021C","(2012-12-17)AAL1的单时隙(带CAS)信号承载话音类型PCM A律",""," 数量：303704064字节, 比例：1.55%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 1760876706字节, 比例: 11.59%","AAL1数量: 816418432字节, 比例: 46.36%","0000: 0200","(2012-12-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：279343104字节, 比例：1.43%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 1760876706字节, 比例: 11.59%","AAL1数量: 816418432字节, 比例: 46.36%","0000: 021D","(2012-12-17)AAL1的单时隙(带CAS)信号承载话音类型PCM A律",""," 数量：277595136字节, 比例：1.42%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 1760876706字节, 比例: 11.59%","AAL1数量: 816418432字节, 比例: 46.36%","0000: 022B","(2012-12-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：279272448字节, 比例：1.43%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 1760876706字节, 比例: 11.59%","AAL1数量: 816418432字节, 比例: 46.36%","0000: 0221","(2012-12-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：279300096字节, 比例：1.43%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 1760876706字节, 比例: 11.59%","AAL1数量: 816418432字节, 比例: 46.36%","0000: 0233","(2012-12-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：276728832字节, 比例：1.41%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 1760876706字节, 比例: 11.59%","AAL1数量: 816418432字节, 比例: 46.36%","0000: 020D","(2012-12-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：277678080字节, 比例：1.42%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 1760876706字节, 比例: 11.59%","AAL1数量: 816418432字节, 比例: 46.36%","0000: 022A","(2012-12-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：278443008字节, 比例：1.42%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 1760876706字节, 比例: 11.59%","AAL1数量: 816418432字节, 比例: 46.36%","0000: 0218","(2012-12-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：279211008字节, 比例：1.42%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 1760876706字节, 比例: 11.59%","AAL1数量: 816418432字节, 比例: 46.36%","0000: 0230","(2012-12-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：279118848字节, 比例：1.42%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 1760876706字节, 比例: 11.59%","AAL1数量: 816418432字节, 比例: 46.36%","0000: 0228","(2012-12-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：279131136字节, 比例：1.42%","",""
