"SPE号","ATM数据","百分比","适配层/百分比例","VPI/VCI","承载格式","协议/端口","比例","主要IP","主要用户"
"STM-1 SPE(155M)","有效数据","AAL数量: 6261871480字节, 比例: 36.51%","AAL1数量: 2173216256字节, 比例: 34.71%","0000: 0AB2","(2012-6-23)AAL1结构化24",""," 数量：126670848字节, 比例：0.24%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 6261871480字节, 比例: 36.51%","AAL1数量: 2173216256字节, 比例: 34.71%","0000: 057C","(2012-6-23)AAL1结构化24",""," 数量：126922752字节, 比例：0.24%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 6261871480字节, 比例: 36.51%","AAL1数量: 2173216256字节, 比例: 34.71%","0000: 04A2","(2012-6-23)AAL1结构化24",""," 数量：126299136字节, 比例：0.24%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 6261871480字节, 比例: 36.51%","AAL1数量: 2173216256字节, 比例: 34.71%","0000: 09E4","(2012-6-23)AAL1结构化24",""," 数量：126673920字节, 比例：0.24%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 6261871480字节, 比例: 36.51%","AAL1数量: 2173216256字节, 比例: 34.71%","0000: 05D5","(2012-6-23)AAL1结构化24",""," 数量：182203392字节, 比例：0.35%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 6261871480字节, 比例: 36.51%","AAL1数量: 2173216256字节, 比例: 34.71%","0000: 0AB2","(2012-6-23)AAL1结构化24",""," 数量：126670848字节, 比例：0.24%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 6261871480字节, 比例: 36.51%","AAL1数量: 2173216256字节, 比例: 34.71%","0000: 057C","(2012-6-23)AAL1结构化24",""," 数量：126922752字节, 比例：0.24%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 6261871480字节, 比例: 36.51%","AAL1数量: 2173216256字节, 比例: 34.71%","0000: 04A2","(2012-6-23)AAL1结构化24",""," 数量：126299136字节, 比例：0.24%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 6261871480字节, 比例: 36.51%","AAL1数量: 2173216256字节, 比例: 34.71%","0000: 09E4","(2012-6-23)AAL1结构化24",""," 数量：126673920字节, 比例：0.24%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 6261871480字节, 比例: 36.51%","AAL1数量: 2173216256字节, 比例: 34.71%","0000: 05D5","(2012-6-23)AAL1结构化24",""," 数量：182203392字节, 比例：0.35%","",""
