"SPE号","ATM数据","百分比","适配层/百分比例","VPI/VCI","承载格式","协议/端口","比例","主要IP","主要用户"
"STM-1 SPE(155M)","有效数据","AAL数量: 435599574字节, 比例: 3.78%","AAL1数量: 188724480字节, 比例: 43.33%","0000: 04D4","(2012-12-23)AAL1结构化24",""," 数量：756286464字节, 比例：16.70%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 435599574字节, 比例: 3.78%","AAL1数量: 188724480字节, 比例: 43.33%","0000: 0349","(2012-12-23)AAL1结构化24",""," 数量：754845696字节, 比例：16.67%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 435599574字节, 比例: 3.78%","AAL1数量: 188724480字节, 比例: 43.33%","0000: 046B","(2012-12-23)AAL1结构化24",""," 数量：754132992字节, 比例：16.65%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 435599574字节, 比例: 3.78%","AAL1数量: 188724480字节, 比例: 43.33%","0000: 0466","(2012-12-23)AAL1结构化24",""," 数量：754793472字节, 比例：16.66%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 435599574字节, 比例: 3.78%","AAL1数量: 188724480字节, 比例: 43.33%","0000: 016A","(2012-12-23)AAL1结构化24",""," 数量：755392512字节, 比例：16.68%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 435599574字节, 比例: 3.78%","AAL1数量: 188724480字节, 比例: 43.33%","0000: 04AB","(2012-12-23)AAL1结构化24",""," 数量：753936384字节, 比例：16.65%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 435599574字节, 比例: 3.78%","AAL1数量: 188724480字节, 比例: 43.33%","0000: 04D4","(2012-12-23)AAL1结构化24",""," 数量：756286464字节, 比例：16.70%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 435599574字节, 比例: 3.78%","AAL1数量: 188724480字节, 比例: 43.33%","0000: 0349","(2012-12-23)AAL1结构化24",""," 数量：754845696字节, 比例：16.67%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 435599574字节, 比例: 3.78%","AAL1数量: 188724480字节, 比例: 43.33%","0000: 046B","(2012-12-23)AAL1结构化24",""," 数量：754132992字节, 比例：16.65%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 435599574字节, 比例: 3.78%","AAL1数量: 188724480字节, 比例: 43.33%","0000: 0466","(2012-12-23)AAL1结构化24",""," 数量：754793472字节, 比例：16.66%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 435599574字节, 比例: 3.78%","AAL1数量: 188724480字节, 比例: 43.33%","0000: 016A","(2012-12-23)AAL1结构化24",""," 数量：755392512字节, 比例：16.68%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 435599574字节, 比例: 3.78%","AAL1数量: 188724480字节, 比例: 43.33%","0000: 04AB","(2012-12-23)AAL1结构化24",""," 数量：753936384字节, 比例：16.65%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 435599574字节, 比例: 3.78%","AAL2数量: 246273152字节, 比例: 56.54%","0000: 040B; CID编号: 11","(2012-12-23)标准AAL2; CID承载业务G711 PCM U律","","数量：31062740字节, 比例：0.53% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 435599574字节, 比例: 3.78%","AAL2数量: 246273152字节, 比例: 56.54%","0000: 040B; CID编号: 12","(2012-12-23)标准AAL2; CID承载业务G711 PCM U律","","数量：31118316字节, 比例：0.53% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 435599574字节, 比例: 3.78%","AAL2数量: 246273152字节, 比例: 56.54%","0000: 040B; CID编号: 13","(2012-12-23)标准AAL2; CID承载业务G711 PCM U律","","数量：31219748字节, 比例：0.53% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 435599574字节, 比例: 3.78%","AAL2数量: 246273152字节, 比例: 56.54%","0000: 040B; CID编号: 14","(2012-12-23)标准AAL2; CID承载业务G711 PCM U律","","数量：31217496字节, 比例：0.53% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 435599574字节, 比例: 3.78%","AAL2数量: 246273152字节, 比例: 56.54%","0000: 040B; CID编号: 15","(2012-12-23)标准AAL2; CID承载业务G711 PCM U律","","数量：31390660字节, 比例：0.53% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 435599574字节, 比例: 3.78%","AAL2数量: 246273152字节, 比例: 56.54%","0000: 040B; CID编号: 16","(2012-12-23)标准AAL2; CID承载业务G711 PCM U律","","数量：31426620字节, 比例：0.53% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 435599574字节, 比例: 3.78%","AAL2数量: 246273152字节, 比例: 56.54%","0000: 040B; CID编号: 17","(2012-12-23)标准AAL2; CID承载业务G711 PCM U律","","数量：31352644字节, 比例：0.53% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 435599574字节, 比例: 3.78%","AAL2数量: 246273152字节, 比例: 56.54%","0000: 040B; CID编号: 18","(2012-12-23)标准AAL2; CID承载业务G711PCM A律","","数量：31398684字节, 比例：0.53% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 435599574字节, 比例: 3.78%","AAL2数量: 246273152字节, 比例: 56.54%","0000: 040B; CID编号: 19","(2012-12-23)标准AAL2; CID承载业务G711 PCM U律","","数量：31390132字节, 比例：0.53% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 435599574字节, 比例: 3.78%","AAL2数量: 246273152字节, 比例: 56.54%","0000: 040B; CID编号: 20","(2012-12-23)标准AAL2; CID承载业务G711 PCM U律","","数量：31284340字节, 比例：0.53% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 435599574字节, 比例: 3.78%","AAL2数量: 246273152字节, 比例: 56.54%","0000: 040B; CID编号: 21","(2012-12-23)标准AAL2; CID承载业务G711 PCM U律","","数量：31356468字节, 比例：0.53% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 435599574字节, 比例: 3.78%","AAL2数量: 246273152字节, 比例: 56.54%","0000: 040B; CID编号: 22","(2012-12-23)标准AAL2; CID承载业务G711 PCM U律","","数量：31351708字节, 比例：0.53% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 435599574字节, 比例: 3.78%","AAL2数量: 246273152字节, 比例: 56.54%","0000: 040B; CID编号: 23","(2012-12-23)标准AAL2; CID承载业务G711 PCM U律","","数量：31395104字节, 比例：0.53% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 435599574字节, 比例: 3.78%","AAL2数量: 246273152字节, 比例: 56.54%","0000: 040B; CID编号: 24","(2012-12-23)标准AAL2; CID承载业务G711 PCM U律","","数量：31364896字节, 比例：0.53% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 435599574字节, 比例: 3.78%","AAL2数量: 246273152字节, 比例: 56.54%","0000: 040B; CID编号: 25","(2012-12-23)标准AAL2; CID承载业务G711 PCM U律","","数量：31404940字节, 比例：0.53% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 435599574字节, 比例: 3.78%","AAL2数量: 246273152字节, 比例: 56.54%","0000: 040B; CID编号: 26","(2012-12-23)标准AAL2; CID承载业务G711 PCM U律","","数量：31297840字节, 比例：0.53% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 435599574字节, 比例: 3.78%","AAL2数量: 246273152字节, 比例: 56.54%","0000: 040B; CID编号: 27","(2012-12-23)标准AAL2; CID承载业务G711 PCM U律","","数量：31559852字节, 比例：0.53% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 435599574字节, 比例: 3.78%","AAL2数量: 246273152字节, 比例: 56.54%","0000: 040B; CID编号: 28","(2012-12-23)标准AAL2; CID承载业务G711PCM A律","","数量：31597100字节, 比例：0.53% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 435599574字节, 比例: 3.78%","AAL2数量: 246273152字节, 比例: 56.54%","0000: 040B; CID编号: 29","(2012-12-23)标准AAL2; CID承载业务G711 PCM U律","","数量：31567920字节, 比例：0.53% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 435599574字节, 比例: 3.78%","AAL2数量: 246273152字节, 比例: 56.54%","0000: 040B; CID编号: 30","(2012-12-23)标准AAL2; CID承载业务G711 PCM U律","","数量：31576552字节, 比例：0.53% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 435599574字节, 比例: 3.78%","AAL2数量: 246273152字节, 比例: 56.54%","0000: 040B; CID编号: 31","(2012-12-23)标准AAL2; CID承载业务G711 PCM U律","","数量：31560484字节, 比例：0.53% ","",""
