"SPE号","ATM数据","百分比","适配层/百分比例","VPI/VCI","承载格式","协议/端口","比例","主要IP","主要用户"
"STM-1 SPE(155M)","有效数据","AAL数量: 3252925353字节, 比例: 39.19%","AAL1数量: 995061056字节, 比例: 30.59%","0000: 0571","(2013-8-4)AAL1结构化24",""," 数量：625993728字节, 比例：1.31%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3252925353字节, 比例: 39.19%","AAL1数量: 995061056字节, 比例: 30.59%","0000: 058A","(2013-8-4)AAL1结构化24",""," 数量：626159616字节, 比例：1.31%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3252925353字节, 比例: 39.19%","AAL1数量: 995061056字节, 比例: 30.59%","0000: 071A","(2013-8-4)AAL1结构化24",""," 数量：626144256字节, 比例：1.31%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3252925353字节, 比例: 39.19%","AAL1数量: 995061056字节, 比例: 30.59%","0000: 0643","(2013-8-4)AAL1结构化24",""," 数量：626138112字节, 比例：1.31%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3252925353字节, 比例: 39.19%","AAL1数量: 995061056字节, 比例: 30.59%","0000: 0573","(2013-8-4)AAL1结构化24",""," 数量：626288640字节, 比例：1.31%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3252925353字节, 比例: 39.19%","AAL1数量: 995061056字节, 比例: 30.59%","0000: 0BEE","(2013-8-4)AAL1结构化24",""," 数量：625990656字节, 比例：1.31%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3252925353字节, 比例: 39.19%","AAL2数量: 2243412185字节, 比例: 68.97%","0000: 0B43; CID编号: 11","(2013-8-4)标准AAL2; CID承载业务G729","","数量：3371698字节, 比例：0.00% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3252925353字节, 比例: 39.19%","AAL2数量: 2243412185字节, 比例: 68.97%","0000: 0B41; CID编号: 11","(2013-8-4)标准AAL2; CID承载业务G711 PCM U律","","数量：23224188字节, 比例：0.02% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3252925353字节, 比例: 39.19%","AAL2数量: 2243412185字节, 比例: 68.97%","0000: 0B41; CID编号: 12","(2013-8-4)标准AAL2; CID承载业务G711 PCM U律","","数量：23264048字节, 比例：0.02% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3252925353字节, 比例: 39.19%","AAL2数量: 2243412185字节, 比例: 68.97%","0000: 0B41; CID编号: 13","(2013-8-4)标准AAL2; CID承载业务G711 PCM U律","","数量：23257672字节, 比例：0.02% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3252925353字节, 比例: 39.19%","AAL2数量: 2243412185字节, 比例: 68.97%","0000: 0B41; CID编号: 14","(2013-8-4)标准AAL2; CID承载业务G711 PCM U律","","数量：23253656字节, 比例：0.02% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3252925353字节, 比例: 39.19%","AAL2数量: 2243412185字节, 比例: 68.97%","0000: 0B41; CID编号: 15","(2013-8-4)标准AAL2; CID承载业务G711 PCM U律","","数量：23306112字节, 比例：0.02% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3252925353字节, 比例: 39.19%","AAL2数量: 2243412185字节, 比例: 68.97%","0000: 0B41; CID编号: 16","(2013-8-4)标准AAL2; CID承载业务G711 PCM U律","","数量：23319736字节, 比例：0.02% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3252925353字节, 比例: 39.19%","AAL2数量: 2243412185字节, 比例: 68.97%","0000: 0B41; CID编号: 17","(2013-8-4)标准AAL2; CID承载业务G711 PCM U律","","数量：23328028字节, 比例：0.02% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3252925353字节, 比例: 39.19%","AAL2数量: 2243412185字节, 比例: 68.97%","0000: 0B41; CID编号: 18","(2013-8-4)标准AAL2; CID承载业务G711 PCM U律","","数量：23325712字节, 比例：0.02% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3252925353字节, 比例: 39.19%","AAL2数量: 2243412185字节, 比例: 68.97%","0000: 0B41; CID编号: 19","(2013-8-4)标准AAL2; CID承载业务G711PCM A律","","数量：23314636字节, 比例：0.02% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3252925353字节, 比例: 39.19%","AAL2数量: 2243412185字节, 比例: 68.97%","0000: 0B41; CID编号: 20","(2013-8-4)标准AAL2; CID承载业务G711 PCM U律","","数量：23299680字节, 比例：0.02% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3252925353字节, 比例: 39.19%","AAL2数量: 2243412185字节, 比例: 68.97%","0000: 0B41; CID编号: 21","(2013-8-4)标准AAL2; CID承载业务G711 PCM U律","","数量：23317184字节, 比例：0.02% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3252925353字节, 比例: 39.19%","AAL2数量: 2243412185字节, 比例: 68.97%","0000: 0B41; CID编号: 22","(2013-8-4)标准AAL2; CID承载业务G711 PCM U律","","数量：23318876字节, 比例：0.02% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3252925353字节, 比例: 39.19%","AAL2数量: 2243412185字节, 比例: 68.97%","0000: 0B41; CID编号: 23","(2013-8-4)标准AAL2; CID承载业务G711 PCM U律","","数量：23318948字节, 比例：0.02% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3252925353字节, 比例: 39.19%","AAL2数量: 2243412185字节, 比例: 68.97%","0000: 0B41; CID编号: 24","(2013-8-4)标准AAL2; CID承载业务G711 PCM U律","","数量：23320768字节, 比例：0.02% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3252925353字节, 比例: 39.19%","AAL2数量: 2243412185字节, 比例: 68.97%","0000: 0B41; CID编号: 25","(2013-8-4)标准AAL2; CID承载业务G711 PCM U律","","数量：23320444字节, 比例：0.02% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3252925353字节, 比例: 39.19%","AAL2数量: 2243412185字节, 比例: 68.97%","0000: 0B41; CID编号: 26","(2013-8-4)标准AAL2; CID承载业务G711 PCM U律","","数量：23316404字节, 比例：0.02% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3252925353字节, 比例: 39.19%","AAL2数量: 2243412185字节, 比例: 68.97%","0000: 0B41; CID编号: 27","(2013-8-4)标准AAL2; CID承载业务G711 PCM U律","","数量：23334636字节, 比例：0.02% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3252925353字节, 比例: 39.19%","AAL2数量: 2243412185字节, 比例: 68.97%","0000: 0B41; CID编号: 28","(2013-8-4)标准AAL2; CID承载业务G711 PCM U律","","数量：23353700字节, 比例：0.02% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3252925353字节, 比例: 39.19%","AAL2数量: 2243412185字节, 比例: 68.97%","0000: 0B41; CID编号: 29","(2013-8-4)标准AAL2; CID承载业务G711 PCM U律","","数量：23369936字节, 比例：0.02% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3252925353字节, 比例: 39.19%","AAL2数量: 2243412185字节, 比例: 68.97%","0000: 0B41; CID编号: 30","(2013-8-4)标准AAL2; CID承载业务G711 PCM U律","","数量：23379244字节, 比例：0.02% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3252925353字节, 比例: 39.19%","AAL2数量: 2243412185字节, 比例: 68.97%","0000: 0B41; CID编号: 31","(2013-8-4)标准AAL2; CID承载业务G711 PCM U律","","数量：23365924字节, 比例：0.02% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3252925353字节, 比例: 39.19%","AAL2数量: 2243412185字节, 比例: 68.97%","0000: 0B41; CID编号: 32","(2013-8-4)标准AAL2; CID承载业务G711 PCM U律","","数量：23204268字节, 比例：0.02% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3252925353字节, 比例: 39.19%","AAL2数量: 2243412185字节, 比例: 68.97%","0000: 0B41; CID编号: 33","(2013-8-4)标准AAL2; CID承载业务G711 PCM U律","","数量：23175628字节, 比例：0.02% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3252925353字节, 比例: 39.19%","AAL2数量: 2243412185字节, 比例: 68.97%","0000: 0B41; CID编号: 34","(2013-8-4)标准AAL2; CID承载业务G711 PCM U律","","数量：23149024字节, 比例：0.02% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3252925353字节, 比例: 39.19%","AAL2数量: 2243412185字节, 比例: 68.97%","0000: 0B42; CID编号: 11","(2013-8-4)标准AAL2; CID承载业务G711 PCM U律","","数量：23195352字节, 比例：0.02% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3252925353字节, 比例: 39.19%","AAL2数量: 2243412185字节, 比例: 68.97%","0000: 0B42; CID编号: 12","(2013-8-4)标准AAL2; CID承载业务G711 PCM U律","","数量：23242472字节, 比例：0.02% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3252925353字节, 比例: 39.19%","AAL2数量: 2243412185字节, 比例: 68.97%","0000: 0B42; CID编号: 13","(2013-8-4)标准AAL2; CID承载业务G711 PCM U律","","数量：23270532字节, 比例：0.02% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3252925353字节, 比例: 39.19%","AAL2数量: 2243412185字节, 比例: 68.97%","0000: 0B42; CID编号: 14","(2013-8-4)标准AAL2; CID承载业务G711 PCM U律","","数量：23249780字节, 比例：0.02% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3252925353字节, 比例: 39.19%","AAL2数量: 2243412185字节, 比例: 68.97%","0000: 0B42; CID编号: 15","(2013-8-4)标准AAL2; CID承载业务G711 PCM U律","","数量：23318156字节, 比例：0.02% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3252925353字节, 比例: 39.19%","AAL2数量: 2243412185字节, 比例: 68.97%","0000: 0B42; CID编号: 16","(2013-8-4)标准AAL2; CID承载业务G711 PCM U律","","数量：23319076字节, 比例：0.02% ","",""
