"SPE号","ATM数据","百分比","适配层/百分比例","VPI/VCI","承载格式","协议/端口","比例","主要IP","主要用户"
"第1个STS SPE(45M)","有效数据","AAL数量: 11149192字节, 比例: 21.66%","AAL1数量: 4585984字节, 比例: 41.13%","0000: 0DDF","(2012-6-21)AAL1结构化24",""," 数量：55050240字节, 比例：50.02%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 11149192字节, 比例: 21.66%","AAL1数量: 4585984字节, 比例: 41.13%","0000: 0DC9","(2012-6-21)AAL1结构化24",""," 数量：55013376字节, 比例：49.98%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 11149192字节, 比例: 21.66%","AAL1数量: 4585984字节, 比例: 41.13%","0000: 0DDF","(2012-6-21)AAL1结构化24",""," 数量：55050240字节, 比例：50.02%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 11149192字节, 比例: 21.66%","AAL1数量: 4585984字节, 比例: 41.13%","0000: 0DC9","(2012-6-21)AAL1结构化24",""," 数量：55013376字节, 比例：49.98%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 11149192字节, 比例: 21.66%","AAL5数量: 275186字节, 比例: 2.47%","0000: 0DE4","(2012-6-21)AAL5 IP",""," 数量：6604464字节, 比例：100.00%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 11149192字节, 比例: 21.66%","AAL5数量: 275186字节, 比例: 2.47%","0000: 0DE4","(2012-6-21)AAL5 IP",""," 数量：6604464字节, 比例：100.00%","",""
"第1个STS SPE(45M)","空信元","空信元数量: 39466482字节, 比例: 76.67%","","","","","","",""
"第1个STS SPE(45M)","无效数据","其他元数量: 862416字节, 比例: 1.68%","","","","","","",""
"第2个STS SPE(45M)","有效数据","AAL数量: 961322字节, 比例: 1.72%","AAL5数量: 190624字节, 比例: 19.83%","0000: 004F","(2012-6-21)AAL5 IP",""," 数量：4574976字节, 比例：100.00%","",""
"第2个STS SPE(45M)","有效数据","AAL数量: 961322字节, 比例: 1.72%","AAL5数量: 190624字节, 比例: 19.83%","0000: 004F","(2012-6-21)AAL5 IP",""," 数量：4574976字节, 比例：100.00%","",""
"第2个STS SPE(45M)","空信元","空信元数量: 54769186字节, 比例: 98.21%","","","","","","",""
"第2个STS SPE(45M)","无效数据","其他元数量: 38698字节, 比例: 0.07%","","","","","","",""
