"SPE号","ATM数据","百分比","适配层/百分比例","VPI/VCI","承载格式","协议/端口","比例","主要IP","主要用户"
"第1个STS SPE(45M)","有效数据","AAL数量: 244674626字节, 比例: 4.73%","AAL1数量: 119674368字节, 比例: 48.91%","0000: 48EF","(2013-8-2)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：81905664字节, 比例：1.43%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 244674626字节, 比例: 4.73%","AAL1数量: 119674368字节, 比例: 48.91%","0000: 48E5","(2013-8-2)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：81856512字节, 比例：1.42%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 244674626字节, 比例: 4.73%","AAL1数量: 119674368字节, 比例: 48.91%","0000: 493C","(2013-8-2)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：81896448字节, 比例：1.43%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 244674626字节, 比例: 4.73%","AAL1数量: 119674368字节, 比例: 48.91%","0000: 48ED","(2013-8-2)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：81914880字节, 比例：1.43%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 244674626字节, 比例: 4.73%","AAL1数量: 119674368字节, 比例: 48.91%","0000: 4948","(2013-8-2)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：81893376字节, 比例：1.43%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 244674626字节, 比例: 4.73%","AAL1数量: 119674368字节, 比例: 48.91%","0000: 4951","(2013-8-2)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：81847296字节, 比例：1.42%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 244674626字节, 比例: 4.73%","AAL1数量: 119674368字节, 比例: 48.91%","0000: 4936","(2013-8-2)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：81874944字节, 比例：1.43%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 244674626字节, 比例: 4.73%","AAL1数量: 119674368字节, 比例: 48.91%","0000: 493E","(2013-8-2)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：81908736字节, 比例：1.43%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 244674626字节, 比例: 4.73%","AAL1数量: 119674368字节, 比例: 48.91%","0000: 48D7","(2013-8-2)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：81847296字节, 比例：1.42%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 244674626字节, 比例: 4.73%","AAL1数量: 119674368字节, 比例: 48.91%","0000: 4950","(2013-8-2)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：81905664字节, 比例：1.43%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 244674626字节, 比例: 4.73%","AAL1数量: 119674368字节, 比例: 48.91%","0000: 48E3","(2013-8-2)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：81862656字节, 比例：1.43%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 244674626字节, 比例: 4.73%","AAL1数量: 119674368字节, 比例: 48.91%","0000: 48EB","(2013-8-2)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：81905664字节, 比例：1.43%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 244674626字节, 比例: 4.73%","AAL1数量: 119674368字节, 比例: 48.91%","0000: 493B","(2013-8-2)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：81911808字节, 比例：1.43%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 244674626字节, 比例: 4.73%","AAL1数量: 119674368字节, 比例: 48.91%","0000: 4952","(2013-8-2)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：81859584字节, 比例：1.43%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 244674626字节, 比例: 4.73%","AAL1数量: 119674368字节, 比例: 48.91%","0000: 48DC","(2013-8-2)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：81853440字节, 比例：1.42%","",""
