"SPE号","ATM数据","百分比","适配层/百分比例","VPI/VCI","承载格式","协议/端口","比例","主要IP","主要用户"
"第1个STS SPE(45M)","有效数据","AAL数量: 4182129368字节, 比例: 27.88%","AAL1数量: 2040892288字节, 比例: 48.80%","0000: 4C7C","(2012-12-8)AAL1结构化24",""," 数量：3221836800字节, 比例：6.58%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 4182129368字节, 比例: 27.88%","AAL1数量: 2040892288字节, 比例: 48.80%","0000: 01F3","(2012-12-8)AAL1结构化24",""," 数量：3257220096字节, 比例：6.65%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 4182129368字节, 比例: 27.88%","AAL1数量: 2040892288字节, 比例: 48.80%","0000: 0200","(2012-12-8)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：700545024字节, 比例：1.43%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 4182129368字节, 比例: 27.88%","AAL1数量: 2040892288字节, 比例: 48.80%","0000: 0218","(2012-12-8)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：695933952字节, 比例：1.42%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 4182129368字节, 比例: 27.88%","AAL1数量: 2040892288字节, 比例: 48.80%","0000: 020D","(2012-12-8)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：700216320字节, 比例：1.43%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 4182129368字节, 比例: 27.88%","AAL1数量: 2040892288字节, 比例: 48.80%","0000: 0229","(2012-12-8)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：695970816字节, 比例：1.42%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 4182129368字节, 比例: 27.88%","AAL1数量: 2040892288字节, 比例: 48.80%","0000: 022C","(2012-12-8)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：695900160字节, 比例：1.42%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 4182129368字节, 比例: 27.88%","AAL1数量: 2040892288字节, 比例: 48.80%","0000: 0234","(2012-12-8)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：695906304字节, 比例：1.42%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 4182129368字节, 比例: 27.88%","AAL1数量: 2040892288字节, 比例: 48.80%","0000: 021E","(2012-12-8)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：700243968字节, 比例：1.43%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 4182129368字节, 比例: 27.88%","AAL1数量: 2040892288字节, 比例: 48.80%","0000: 0232","(2012-12-8)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：695943168字节, 比例：1.42%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 4182129368字节, 比例: 27.88%","AAL1数量: 2040892288字节, 比例: 48.80%","0000: 022B","(2012-12-8)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：700219392字节, 比例：1.43%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 4182129368字节, 比例: 27.88%","AAL1数量: 2040892288字节, 比例: 48.80%","0000: 021C","(2012-12-8)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：695909376字节, 比例：1.42%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 4182129368字节, 比例: 27.88%","AAL1数量: 2040892288字节, 比例: 48.80%","0000: 022D","(2012-12-8)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：695943168字节, 比例：1.42%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 4182129368字节, 比例: 27.88%","AAL1数量: 2040892288字节, 比例: 48.80%","0000: 022A","(2012-12-8)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：695700480字节, 比例：1.42%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 4182129368字节, 比例: 27.88%","AAL1数量: 2040892288字节, 比例: 48.80%","0000: 022F","(2012-12-8)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：695906304字节, 比例：1.42%","",""
