"SPE号","ATM数据","百分比","适配层/百分比例","VPI/VCI","承载格式","协议/端口","比例","主要IP","主要用户"
"STM-1 SPE(155M)","有效数据","AAL数量: 3110274570字节, 比例: 25.98%","AAL1数量: 1303008640字节, 比例: 41.89%","0000: 04D4","(2012-12-22)AAL1结构化24",""," 数量：930900992字节, 比例：2.98%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3110274570字节, 比例: 25.98%","AAL1数量: 1303008640字节, 比例: 41.89%","0000: 0349","(2012-12-22)AAL1结构化24",""," 数量：920456192字节, 比例：2.94%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3110274570字节, 比例: 25.98%","AAL1数量: 1303008640字节, 比例: 41.89%","0000: 046B","(2012-12-22)AAL1结构化24",""," 数量：918275072字节, 比例：2.94%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3110274570字节, 比例: 25.98%","AAL1数量: 1303008640字节, 比例: 41.89%","0000: 0466","(2012-12-22)AAL1结构化24",""," 数量：908168192字节, 比例：2.90%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3110274570字节, 比例: 25.98%","AAL1数量: 1303008640字节, 比例: 41.89%","0000: 016A","(2012-12-22)AAL1结构化24",""," 数量：922551296字节, 比例：2.95%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3110274570字节, 比例: 25.98%","AAL1数量: 1303008640字节, 比例: 41.89%","0000: 04AB","(2012-12-22)AAL1结构化24",""," 数量：902051840字节, 比例：2.88%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3110274570字节, 比例: 25.98%","AAL1数量: 1303008640字节, 比例: 41.89%","0000: 04D4","(2012-12-22)AAL1结构化24",""," 数量：930900992字节, 比例：2.98%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3110274570字节, 比例: 25.98%","AAL1数量: 1303008640字节, 比例: 41.89%","0000: 0349","(2012-12-22)AAL1结构化24",""," 数量：920456192字节, 比例：2.94%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3110274570字节, 比例: 25.98%","AAL1数量: 1303008640字节, 比例: 41.89%","0000: 046B","(2012-12-22)AAL1结构化24",""," 数量：918275072字节, 比例：2.94%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3110274570字节, 比例: 25.98%","AAL1数量: 1303008640字节, 比例: 41.89%","0000: 0466","(2012-12-22)AAL1结构化24",""," 数量：908168192字节, 比例：2.90%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3110274570字节, 比例: 25.98%","AAL1数量: 1303008640字节, 比例: 41.89%","0000: 016A","(2012-12-22)AAL1结构化24",""," 数量：922551296字节, 比例：2.95%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3110274570字节, 比例: 25.98%","AAL1数量: 1303008640字节, 比例: 41.89%","0000: 04AB","(2012-12-22)AAL1结构化24",""," 数量：902051840字节, 比例：2.88%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3110274570字节, 比例: 25.98%","AAL2数量: 1691027034字节, 比例: 54.37%","0000: 040B; CID编号: 11","(2012-12-22)标准AAL2; CID承载业务G711 PCM U律","","数量：206290424字节, 比例：0.51% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3110274570字节, 比例: 25.98%","AAL2数量: 1691027034字节, 比例: 54.37%","0000: 040B; CID编号: 12","(2012-12-22)标准AAL2; CID承载业务G711 PCM U律","","数量：206702908字节, 比例：0.51% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3110274570字节, 比例: 25.98%","AAL2数量: 1691027034字节, 比例: 54.37%","0000: 040B; CID编号: 13","(2012-12-22)标准AAL2; CID承载业务G711 PCM U律","","数量：207266324字节, 比例：0.51% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 3110274570字节, 比例: 25.98%","AAL2数量: 1691027034字节, 比例: 54.37%","0000: 040B; CID编号: 14","(2012-12-22)标准AAL2; CID承载业务G711 PCM U律","","数量：207464808字节, 比例：0.51% ","",""
