"SPE号","ATM数据","百分比","适配层/百分比例","VPI/VCI","承载格式","协议/端口","比例","主要IP","主要用户"
"第1个STS SPE(45M)","有效数据","AAL数量: 1995488914字节, 比例: 12.38%","AAL1数量: 924626560字节, 比例: 46.34%","0000: 4C7C","(2012-12-18)AAL1结构化24",""," 数量：2826745856字节, 比例：12.74%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 1995488914字节, 比例: 12.38%","AAL1数量: 924626560字节, 比例: 46.34%","0000: 020E","(2012-12-18)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：306607104字节, 比例：1.38%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 1995488914字节, 比例: 12.38%","AAL1数量: 924626560字节, 比例: 46.34%","0000: 022C","(2012-12-18)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：306733056字节, 比例：1.38%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 1995488914字节, 比例: 12.38%","AAL1数量: 924626560字节, 比例: 46.34%","0000: 0229","(2012-12-18)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：306487296字节, 比例：1.38%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 1995488914字节, 比例: 12.38%","AAL1数量: 924626560字节, 比例: 46.34%","0000: 022E","(2012-12-18)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：306748416字节, 比例：1.38%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 1995488914字节, 比例: 12.38%","AAL1数量: 924626560字节, 比例: 46.34%","0000: 022F","(2012-12-18)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：306170880字节, 比例：1.38%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 1995488914字节, 比例: 12.38%","AAL1数量: 924626560字节, 比例: 46.34%","0000: 01FF","(2012-12-18)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：306395136字节, 比例：1.38%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 1995488914字节, 比例: 12.38%","AAL1数量: 924626560字节, 比例: 46.34%","0000: 021C","(2012-12-18)AAL1的单时隙(带CAS)信号承载话音类型PCM A律",""," 数量：345587712字节, 比例：1.56%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 1995488914字节, 比例: 12.38%","AAL1数量: 924626560字节, 比例: 46.34%","0000: 0200","(2012-12-18)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：306557952字节, 比例：1.38%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 1995488914字节, 比例: 12.38%","AAL1数量: 924626560字节, 比例: 46.34%","0000: 021D","(2012-12-18)AAL1的单时隙(带CAS)信号承载话音类型PCM A律",""," 数量：306705408字节, 比例：1.38%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 1995488914字节, 比例: 12.38%","AAL1数量: 924626560字节, 比例: 46.34%","0000: 022B","(2012-12-18)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：306508800字节, 比例：1.38%","",""
