"SPE号","ATM数据","百分比","适配层/百分比例","VPI/VCI","承载格式","协议/端口","比例","主要IP","主要用户"
"STM-1 SPE(155M)","有效数据","AAL数量: 5084181792字节, 比例: 29.72%","AAL1数量: 4772267136字节, 比例: 93.86%","0000: 016A","(2012-12-2)AAL1结构化24",""," 数量：1909124096字节, 比例：1.67%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 5084181792字节, 比例: 29.72%","AAL1数量: 4772267136字节, 比例: 93.86%","0000: 017F","(2012-12-2)AAL1结构化24",""," 数量：1908887552字节, 比例：1.67%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 5084181792字节, 比例: 29.72%","AAL1数量: 4772267136字节, 比例: 93.86%","0000: 01B7","(2012-12-2)AAL1结构化24",""," 数量：1908617216字节, 比例：1.67%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 5084181792字节, 比例: 29.72%","AAL1数量: 4772267136字节, 比例: 93.86%","0000: 01D1","(2012-12-2)AAL1结构化24",""," 数量：1909332992字节, 比例：1.67%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 5084181792字节, 比例: 29.72%","AAL1数量: 4772267136字节, 比例: 93.86%","0000: 017E","(2012-12-2)AAL1结构化24",""," 数量：1907944448字节, 比例：1.67%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 5084181792字节, 比例: 29.72%","AAL1数量: 4772267136字节, 比例: 93.86%","0000: 0290","(2012-12-2)AAL1结构化24",""," 数量：1911289856字节, 比例：1.67%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 5084181792字节, 比例: 29.72%","AAL1数量: 4772267136字节, 比例: 93.86%","0000: 016A","(2012-12-2)AAL1结构化24",""," 数量：1909124096字节, 比例：1.67%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 5084181792字节, 比例: 29.72%","AAL1数量: 4772267136字节, 比例: 93.86%","0000: 017F","(2012-12-2)AAL1结构化24",""," 数量：1908887552字节, 比例：1.67%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 5084181792字节, 比例: 29.72%","AAL1数量: 4772267136字节, 比例: 93.86%","0000: 01B7","(2012-12-2)AAL1结构化24",""," 数量：1908617216字节, 比例：1.67%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 5084181792字节, 比例: 29.72%","AAL1数量: 4772267136字节, 比例: 93.86%","0000: 01D1","(2012-12-2)AAL1结构化24",""," 数量：1909332992字节, 比例：1.67%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 5084181792字节, 比例: 29.72%","AAL1数量: 4772267136字节, 比例: 93.86%","0000: 017E","(2012-12-2)AAL1结构化24",""," 数量：1907944448字节, 比例：1.67%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 5084181792字节, 比例: 29.72%","AAL1数量: 4772267136字节, 比例: 93.86%","0000: 0290","(2012-12-2)AAL1结构化24",""," 数量：1911289856字节, 比例：1.67%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 5084181792字节, 比例: 29.72%","AAL2数量: 83917314字节, 比例: 1.65%","0000: 0160; CID编号: 11","(2012-12-2)标准AAL2; CID承载业务G729","","数量：290722字节, 比例：0.01% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 5084181792字节, 比例: 29.72%","AAL2数量: 83917314字节, 比例: 1.65%","0000: 0195; CID编号: 11","(2012-12-2)标准AAL2; CID承载业务G729","","数量：117899224字节, 比例：5.85% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 5084181792字节, 比例: 29.72%","AAL2数量: 83917314字节, 比例: 1.65%","0000: 01DE; CID编号: 11","(2012-12-2)标准AAL2; CID承载业务G711 PCM U律","","数量：744735332字节, 比例：36.98% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 5084181792字节, 比例: 29.72%","AAL2数量: 83917314字节, 比例: 1.65%","0000: 01DE; CID编号: 12","(2012-12-2)标准AAL2; CID承载业务G711 PCM U律","","数量：744903104字节, 比例：36.99% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 5084181792字节, 比例: 29.72%","AAL2数量: 83917314字节, 比例: 1.65%","0000: 01DE; CID编号: 13","(2012-12-2)标准AAL2; CID承载业务G711 PCM U律","","数量：744920500字节, 比例：36.99% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 5084181792字节, 比例: 29.72%","AAL2数量: 83917314字节, 比例: 1.65%","0000: 01DE; CID编号: 14","(2012-12-2)标准AAL2; CID承载业务G711 PCM U律","","数量：744873316字节, 比例：36.98% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 5084181792字节, 比例: 29.72%","AAL2数量: 83917314字节, 比例: 1.65%","0000: 01DE; CID编号: 15","(2012-12-2)标准AAL2; CID承载业务G711 PCM U律","","数量：745051440字节, 比例：36.99% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 5084181792字节, 比例: 29.72%","AAL2数量: 83917314字节, 比例: 1.65%","0000: 01DE; CID编号: 16","(2012-12-2)标准AAL2; CID承载业务G711 PCM U律","","数量：745045544字节, 比例：36.99% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 5084181792字节, 比例: 29.72%","AAL2数量: 83917314字节, 比例: 1.65%","0000: 01DE; CID编号: 17","(2012-12-2)标准AAL2; CID承载业务G711 PCM U律","","数量：745056576字节, 比例：36.99% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 5084181792字节, 比例: 29.72%","AAL2数量: 83917314字节, 比例: 1.65%","0000: 01DE; CID编号: 18","(2012-12-2)标准AAL2; CID承载业务G711 PCM U律","","数量：745069676字节, 比例：36.99% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 5084181792字节, 比例: 29.72%","AAL2数量: 83917314字节, 比例: 1.65%","0000: 01DE; CID编号: 19","(2012-12-2)标准AAL2; CID承载业务G711 PCM U律","","数量：745034404字节, 比例：36.99% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 5084181792字节, 比例: 29.72%","AAL2数量: 83917314字节, 比例: 1.65%","0000: 01DE; CID编号: 20","(2012-12-2)标准AAL2; CID承载业务G711 PCM U律","","数量：744976708字节, 比例：36.99% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 5084181792字节, 比例: 29.72%","AAL2数量: 83917314字节, 比例: 1.65%","0000: 01DE; CID编号: 21","(2012-12-2)标准AAL2; CID承载业务G711 PCM U律","","数量：745013796字节, 比例：36.99% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 5084181792字节, 比例: 29.72%","AAL2数量: 83917314字节, 比例: 1.65%","0000: 01DE; CID编号: 22","(2012-12-2)标准AAL2; CID承载业务G711 PCM U律","","数量：745027944字节, 比例：36.99% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 5084181792字节, 比例: 29.72%","AAL2数量: 83917314字节, 比例: 1.65%","0000: 01DE; CID编号: 23","(2012-12-2)标准AAL2; CID承载业务G711 PCM U律","","数量：745032904字节, 比例：36.99% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 5084181792字节, 比例: 29.72%","AAL2数量: 83917314字节, 比例: 1.65%","0000: 01DE; CID编号: 24","(2012-12-2)标准AAL2; CID承载业务G711 PCM U律","","数量：745054284字节, 比例：36.99% ","",""
