"SPE号","ATM数据","百分比","适配层/百分比例","VPI/VCI","承载格式","协议/端口","比例","主要IP","主要用户"
"第1个STS SPE(45M)","有效数据","AAL数量: 4688857852字节, 比例: 27.80%","AAL1数量: 2244178176字节, 比例: 47.86%","0000: 01F3","(2013-1-5)AAL1结构化24",""," 数量：340736000字节, 比例：0.63%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 4688857852字节, 比例: 27.80%","AAL1数量: 2244178176字节, 比例: 47.86%","0000: 0200","(2013-1-5)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：759868416字节, 比例：1.41%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 4688857852字节, 比例: 27.80%","AAL1数量: 2244178176字节, 比例: 47.86%","0000: 0230","(2013-1-5)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：759923712字节, 比例：1.41%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 4688857852字节, 比例: 27.80%","AAL1数量: 2244178176字节, 比例: 47.86%","0000: 01FF","(2013-1-5)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：759438336字节, 比例：1.41%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 4688857852字节, 比例: 27.80%","AAL1数量: 2244178176字节, 比例: 47.86%","0000: 0A2A","(2013-1-5)AAL1结构化24",""," 数量：926431232字节, 比例：1.72%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 4688857852字节, 比例: 27.80%","AAL1数量: 2244178176字节, 比例: 47.86%","0000: 022D","(2013-1-5)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：759868416字节, 比例：1.41%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 4688857852字节, 比例: 27.80%","AAL1数量: 2244178176字节, 比例: 47.86%","0000: 0234","(2013-1-5)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：760018944字节, 比例：1.41%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 4688857852字节, 比例: 27.80%","AAL1数量: 2244178176字节, 比例: 47.86%","0000: 0218","(2013-1-5)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：759859200字节, 比例：1.41%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 4688857852字节, 比例: 27.80%","AAL1数量: 2244178176字节, 比例: 47.86%","0000: 0233","(2013-1-5)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：758817792字节, 比例：1.41%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 4688857852字节, 比例: 27.80%","AAL1数量: 2244178176字节, 比例: 47.86%","0000: 022B","(2013-1-5)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：759880704字节, 比例：1.41%","",""
