"SPE号","ATM数据","百分比","适配层/百分比例","VPI/VCI","承载格式","协议/端口","比例","主要IP","主要用户"
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL1数量: 4801492352字节, 比例: 43.98%","0000: 0466","(2013-1-4)AAL1结构化24",""," 数量：2026133504字节, 比例：1.76%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL1数量: 4801492352字节, 比例: 43.98%","0000: 016A","(2013-1-4)AAL1结构化24",""," 数量：2026210304字节, 比例：1.76%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL1数量: 4801492352字节, 比例: 43.98%","0000: 0349","(2013-1-4)AAL1结构化24",""," 数量：2026112000字节, 比例：1.76%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL1数量: 4801492352字节, 比例: 43.98%","0000: 046B","(2013-1-4)AAL1结构化24",""," 数量：2026179584字节, 比例：1.76%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL1数量: 4801492352字节, 比例: 43.98%","0000: 04AB","(2013-1-4)AAL1结构化24",""," 数量：2026056704字节, 比例：1.76%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL1数量: 4801492352字节, 比例: 43.98%","0000: 04D4","(2013-1-4)AAL1结构化24",""," 数量：2025909248字节, 比例：1.76%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL1数量: 4801492352字节, 比例: 43.98%","0000: 0466","(2013-1-4)AAL1结构化24",""," 数量：2026133504字节, 比例：1.76%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL1数量: 4801492352字节, 比例: 43.98%","0000: 016A","(2013-1-4)AAL1结构化24",""," 数量：2026210304字节, 比例：1.76%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL1数量: 4801492352字节, 比例: 43.98%","0000: 0349","(2013-1-4)AAL1结构化24",""," 数量：2026112000字节, 比例：1.76%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL1数量: 4801492352字节, 比例: 43.98%","0000: 046B","(2013-1-4)AAL1结构化24",""," 数量：2026179584字节, 比例：1.76%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL1数量: 4801492352字节, 比例: 43.98%","0000: 04AB","(2013-1-4)AAL1结构化24",""," 数量：2026056704字节, 比例：1.76%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL1数量: 4801492352字节, 比例: 43.98%","0000: 04D4","(2013-1-4)AAL1结构化24",""," 数量：2025909248字节, 比例：1.76%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL2数量: 6021259004字节, 比例: 55.15%","0000: 0478; CID编号: 11","(2013-1-4)标准AAL2; CID承载业务G711 PCM U律","","数量：751520144字节, 比例：0.52% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL2数量: 6021259004字节, 比例: 55.15%","0000: 0478; CID编号: 12","(2013-1-4)标准AAL2; CID承载业务G711 PCM U律","","数量：751576760字节, 比例：0.52% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL2数量: 6021259004字节, 比例: 55.15%","0000: 0478; CID编号: 13","(2013-1-4)标准AAL2; CID承载业务G711 PCM U律","","数量：751568788字节, 比例：0.52% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL2数量: 6021259004字节, 比例: 55.15%","0000: 0478; CID编号: 14","(2013-1-4)标准AAL2; CID承载业务G711 PCM U律","","数量：751566504字节, 比例：0.52% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL2数量: 6021259004字节, 比例: 55.15%","0000: 0478; CID编号: 15","(2013-1-4)标准AAL2; CID承载业务G711 PCM U律","","数量：751592932字节, 比例：0.52% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL2数量: 6021259004字节, 比例: 55.15%","0000: 0478; CID编号: 16","(2013-1-4)标准AAL2; CID承载业务G711 PCM U律","","数量：751599756字节, 比例：0.52% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL2数量: 6021259004字节, 比例: 55.15%","0000: 0478; CID编号: 17","(2013-1-4)标准AAL2; CID承载业务G711 PCM U律","","数量：751591136字节, 比例：0.52% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL2数量: 6021259004字节, 比例: 55.15%","0000: 0478; CID编号: 18","(2013-1-4)标准AAL2; CID承载业务G711 PCM U律","","数量：751618480字节, 比例：0.52% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL2数量: 6021259004字节, 比例: 55.15%","0000: 0478; CID编号: 19","(2013-1-4)标准AAL2; CID承载业务G711 PCM U律","","数量：751618660字节, 比例：0.52% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL2数量: 6021259004字节, 比例: 55.15%","0000: 0478; CID编号: 20","(2013-1-4)标准AAL2; CID承载业务G711 PCM U律","","数量：751584768字节, 比例：0.52% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL2数量: 6021259004字节, 比例: 55.15%","0000: 0478; CID编号: 21","(2013-1-4)标准AAL2; CID承载业务G711 PCM U律","","数量：751612088字节, 比例：0.52% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL2数量: 6021259004字节, 比例: 55.15%","0000: 0478; CID编号: 22","(2013-1-4)标准AAL2; CID承载业务G711 PCM U律","","数量：751609796字节, 比例：0.52% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL2数量: 6021259004字节, 比例: 55.15%","0000: 0478; CID编号: 23","(2013-1-4)标准AAL2; CID承载业务G711 PCM U律","","数量：751606296字节, 比例：0.52% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL2数量: 6021259004字节, 比例: 55.15%","0000: 0478; CID编号: 24","(2013-1-4)标准AAL2; CID承载业务G711 PCM U律","","数量：751615756字节, 比例：0.52% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL2数量: 6021259004字节, 比例: 55.15%","0000: 0478; CID编号: 25","(2013-1-4)标准AAL2; CID承载业务G711 PCM U律","","数量：751599076字节, 比例：0.52% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL2数量: 6021259004字节, 比例: 55.15%","0000: 0478; CID编号: 26","(2013-1-4)标准AAL2; CID承载业务G711 PCM U律","","数量：751595840字节, 比例：0.52% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL2数量: 6021259004字节, 比例: 55.15%","0000: 0478; CID编号: 27","(2013-1-4)标准AAL2; CID承载业务G711 PCM U律","","数量：751644156字节, 比例：0.52% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL2数量: 6021259004字节, 比例: 55.15%","0000: 0478; CID编号: 28","(2013-1-4)标准AAL2; CID承载业务G711 PCM U律","","数量：751640156字节, 比例：0.52% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL2数量: 6021259004字节, 比例: 55.15%","0000: 0478; CID编号: 29","(2013-1-4)标准AAL2; CID承载业务G711 PCM U律","","数量：751654396字节, 比例：0.52% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL2数量: 6021259004字节, 比例: 55.15%","0000: 0478; CID编号: 30","(2013-1-4)标准AAL2; CID承载业务G711 PCM U律","","数量：751663556字节, 比例：0.52% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL2数量: 6021259004字节, 比例: 55.15%","0000: 0478; CID编号: 31","(2013-1-4)标准AAL2; CID承载业务G711 PCM U律","","数量：751640616字节, 比例：0.52% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL2数量: 6021259004字节, 比例: 55.15%","0000: 0478; CID编号: 32","(2013-1-4)标准AAL2; CID承载业务G711 PCM U律","","数量：751530300字节, 比例：0.52% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL2数量: 6021259004字节, 比例: 55.15%","0000: 0478; CID编号: 33","(2013-1-4)标准AAL2; CID承载业务G711 PCM U律","","数量：751484296字节, 比例：0.52% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL2数量: 6021259004字节, 比例: 55.15%","0000: 0478; CID编号: 34","(2013-1-4)标准AAL2; CID承载业务G711 PCM U律","","数量：751336212字节, 比例：0.52% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL2数量: 6021259004字节, 比例: 55.15%","0000: 047B; CID编号: 11","(2013-1-4)标准AAL2; CID承载业务G711 PCM U律","","数量：751514120字节, 比例：0.52% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL2数量: 6021259004字节, 比例: 55.15%","0000: 047B; CID编号: 12","(2013-1-4)标准AAL2; CID承载业务G711 PCM U律","","数量：751569652字节, 比例：0.52% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL2数量: 6021259004字节, 比例: 55.15%","0000: 047B; CID编号: 13","(2013-1-4)标准AAL2; CID承载业务G711 PCM U律","","数量：751573088字节, 比例：0.52% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL2数量: 6021259004字节, 比例: 55.15%","0000: 047B; CID编号: 14","(2013-1-4)标准AAL2; CID承载业务G711 PCM U律","","数量：751572308字节, 比例：0.52% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL2数量: 6021259004字节, 比例: 55.15%","0000: 047B; CID编号: 15","(2013-1-4)标准AAL2; CID承载业务G711 PCM U律","","数量：751590500字节, 比例：0.52% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL2数量: 6021259004字节, 比例: 55.15%","0000: 047B; CID编号: 16","(2013-1-4)标准AAL2; CID承载业务G711 PCM U律","","数量：751599236字节, 比例：0.52% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL2数量: 6021259004字节, 比例: 55.15%","0000: 047B; CID编号: 17","(2013-1-4)标准AAL2; CID承载业务G711 PCM U律","","数量：751602356字节, 比例：0.52% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL2数量: 6021259004字节, 比例: 55.15%","0000: 047B; CID编号: 18","(2013-1-4)标准AAL2; CID承载业务G711PCM A律","","数量：751589920字节, 比例：0.52% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL2数量: 6021259004字节, 比例: 55.15%","0000: 047B; CID编号: 19","(2013-1-4)标准AAL2; CID承载业务G711 PCM U律","","数量：751613496字节, 比例：0.52% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL2数量: 6021259004字节, 比例: 55.15%","0000: 047B; CID编号: 20","(2013-1-4)标准AAL2; CID承载业务G711 PCM U律","","数量：751565812字节, 比例：0.52% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL2数量: 6021259004字节, 比例: 55.15%","0000: 047B; CID编号: 21","(2013-1-4)标准AAL2; CID承载业务G711 PCM U律","","数量：751601956字节, 比例：0.52% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL2数量: 6021259004字节, 比例: 55.15%","0000: 047B; CID编号: 22","(2013-1-4)标准AAL2; CID承载业务G711 PCM U律","","数量：751604056字节, 比例：0.52% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL2数量: 6021259004字节, 比例: 55.15%","0000: 047B; CID编号: 23","(2013-1-4)标准AAL2; CID承载业务G711 PCM U律","","数量：751619740字节, 比例：0.52% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL2数量: 6021259004字节, 比例: 55.15%","0000: 047B; CID编号: 24","(2013-1-4)标准AAL2; CID承载业务G711 PCM U律","","数量：751609164字节, 比例：0.52% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL2数量: 6021259004字节, 比例: 55.15%","0000: 047B; CID编号: 25","(2013-1-4)标准AAL2; CID承载业务G711 PCM U律","","数量：751612568字节, 比例：0.52% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL2数量: 6021259004字节, 比例: 55.15%","0000: 047B; CID编号: 26","(2013-1-4)标准AAL2; CID承载业务G711 PCM U律","","数量：751601796字节, 比例：0.52% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL2数量: 6021259004字节, 比例: 55.15%","0000: 047B; CID编号: 27","(2013-1-4)标准AAL2; CID承载业务G711 PCM U律","","数量：751639996字节, 比例：0.52% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 10917283836字节, 比例: 41.94%","AAL2数量: 6021259004字节, 比例: 55.15%","0000: 047B; CID编号: 28","(2013-1-4)标准AAL2; CID承载业务G711 PCM U律","","数量：751643904字节, 比例：0.52% ","",""
