"SPE号","ATM数据","百分比","适配层/百分比例","VPI/VCI","承载格式","协议/端口","比例","主要IP","主要用户"
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL1数量: 295837568字节, 比例: 47.75%","0000: 0DC9","(2012-6-17)AAL1结构化24",""," 数量：2348457984字节, 比例：33.08%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL1数量: 295837568字节, 比例: 47.75%","0000: 0DDF","(2012-6-17)AAL1结构化24",""," 数量：2348310528字节, 比例：33.07%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL1数量: 295837568字节, 比例: 47.75%","0000: 05AE","(2012-6-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：101680128字节, 比例：1.43%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL1数量: 295837568字节, 比例: 47.75%","0000: 05D8","(2012-6-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：101760000字节, 比例：1.43%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL1数量: 295837568字节, 比例: 47.75%","0000: 05CD","(2012-6-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：101784576字节, 比例：1.43%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL1数量: 295837568字节, 比例: 47.75%","0000: 05C5","(2012-6-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：101738496字节, 比例：1.43%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL1数量: 295837568字节, 比例: 47.75%","0000: 05D4","(2012-6-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：97284096字节, 比例：1.37%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL1数量: 295837568字节, 比例: 47.75%","0000: 05C8","(2012-6-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：101809152字节, 比例：1.43%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL1数量: 295837568字节, 比例: 47.75%","0000: 05C9","(2012-6-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：101716992字节, 比例：1.43%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL1数量: 295837568字节, 比例: 47.75%","0000: 05C3","(2012-6-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：101603328字节, 比例：1.43%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL1数量: 295837568字节, 比例: 47.75%","0000: 05C4","(2012-6-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：101824512字节, 比例：1.43%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL1数量: 295837568字节, 比例: 47.75%","0000: 05CA","(2012-6-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：97293312字节, 比例：1.37%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL1数量: 295837568字节, 比例: 47.75%","0000: 076F","(2012-6-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：99311616字节, 比例：1.40%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL1数量: 295837568字节, 比例: 47.75%","0000: 05C6","(2012-6-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：101747712字节, 比例：1.43%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL1数量: 295837568字节, 比例: 47.75%","0000: 05AF","(2012-6-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：101790720字节, 比例：1.43%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL1数量: 295837568字节, 比例: 47.75%","0000: 05B6","(2012-6-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：96983040字节, 比例：1.37%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL1数量: 295837568字节, 比例: 47.75%","0000: 05D5","(2012-6-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：101778432字节, 比例：1.43%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL1数量: 295837568字节, 比例: 47.75%","0000: 05C1","(2012-6-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：100337664字节, 比例：1.41%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL1数量: 295837568字节, 比例: 47.75%","0000: 05CB","(2012-6-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：97268736字节, 比例：1.37%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL1数量: 295837568字节, 比例: 47.75%","0000: 05D6","(2012-6-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：101726208字节, 比例：1.43%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL1数量: 295837568字节, 比例: 47.75%","0000: 05CC","(2012-6-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：97216512字节, 比例：1.37%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL1数量: 295837568字节, 比例: 47.75%","0000: 05C7","(2012-6-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：98749440字节, 比例：1.39%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL1数量: 295837568字节, 比例: 47.75%","0000: 05B0","(2012-6-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：101732352字节, 比例：1.43%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL1数量: 295837568字节, 比例: 47.75%","0000: 05BC","(2012-6-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：97281024字节, 比例：1.37%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL1数量: 295837568字节, 比例: 47.75%","0000: 05D3","(2012-6-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：97216512字节, 比例：1.37%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL1数量: 295837568字节, 比例: 47.75%","0000: 05D7","(2012-6-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：101698560字节, 比例：1.43%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL1数量: 295837568字节, 比例: 47.75%","0000: 0DC9","(2012-6-17)AAL1结构化24",""," 数量：2348457984字节, 比例：33.08%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL1数量: 295837568字节, 比例: 47.75%","0000: 0DDF","(2012-6-17)AAL1结构化24",""," 数量：2348310528字节, 比例：33.07%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL1数量: 295837568字节, 比例: 47.75%","0000: 05AE","(2012-6-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：101680128字节, 比例：1.43%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL1数量: 295837568字节, 比例: 47.75%","0000: 05D8","(2012-6-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：101760000字节, 比例：1.43%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL1数量: 295837568字节, 比例: 47.75%","0000: 05CD","(2012-6-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：101784576字节, 比例：1.43%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL1数量: 295837568字节, 比例: 47.75%","0000: 05C5","(2012-6-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：101738496字节, 比例：1.43%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL1数量: 295837568字节, 比例: 47.75%","0000: 05D4","(2012-6-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：97284096字节, 比例：1.37%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL1数量: 295837568字节, 比例: 47.75%","0000: 05C8","(2012-6-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：101809152字节, 比例：1.43%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL1数量: 295837568字节, 比例: 47.75%","0000: 05C9","(2012-6-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：101716992字节, 比例：1.43%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL1数量: 295837568字节, 比例: 47.75%","0000: 05C3","(2012-6-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：101603328字节, 比例：1.43%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL1数量: 295837568字节, 比例: 47.75%","0000: 05C4","(2012-6-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：101824512字节, 比例：1.43%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL1数量: 295837568字节, 比例: 47.75%","0000: 05CA","(2012-6-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：97293312字节, 比例：1.37%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL1数量: 295837568字节, 比例: 47.75%","0000: 076F","(2012-6-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：99311616字节, 比例：1.40%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL1数量: 295837568字节, 比例: 47.75%","0000: 05C6","(2012-6-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：101747712字节, 比例：1.43%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL1数量: 295837568字节, 比例: 47.75%","0000: 05AF","(2012-6-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：101790720字节, 比例：1.43%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL1数量: 295837568字节, 比例: 47.75%","0000: 05B6","(2012-6-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：96983040字节, 比例：1.37%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL1数量: 295837568字节, 比例: 47.75%","0000: 05D5","(2012-6-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：101778432字节, 比例：1.43%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL1数量: 295837568字节, 比例: 47.75%","0000: 05C1","(2012-6-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：100337664字节, 比例：1.41%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL1数量: 295837568字节, 比例: 47.75%","0000: 05CB","(2012-6-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：97268736字节, 比例：1.37%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL1数量: 295837568字节, 比例: 47.75%","0000: 05D6","(2012-6-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：101726208字节, 比例：1.43%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL1数量: 295837568字节, 比例: 47.75%","0000: 05CC","(2012-6-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：97216512字节, 比例：1.37%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL1数量: 295837568字节, 比例: 47.75%","0000: 05C7","(2012-6-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：98749440字节, 比例：1.39%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL1数量: 295837568字节, 比例: 47.75%","0000: 05B0","(2012-6-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：101732352字节, 比例：1.43%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL1数量: 295837568字节, 比例: 47.75%","0000: 05BC","(2012-6-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：97281024字节, 比例：1.37%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL1数量: 295837568字节, 比例: 47.75%","0000: 05D3","(2012-6-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：97216512字节, 比例：1.37%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL1数量: 295837568字节, 比例: 47.75%","0000: 05D7","(2012-6-17)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：101698560字节, 比例：1.43%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL2数量: 309296458字节, 比例: 49.92%","0000: 0589; CID编号: 11","(2012-6-17)标准AAL2; CID承载业务G711 PCM U律","","数量：89430696字节, 比例：1.20% ","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL2数量: 309296458字节, 比例: 49.92%","0000: 0589; CID编号: 12","(2012-6-17)标准AAL2; CID承载业务G711 PCM U律","","数量：89525240字节, 比例：1.21% ","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL2数量: 309296458字节, 比例: 49.92%","0000: 0589; CID编号: 13","(2012-6-17)标准AAL2; CID承载业务G711 PCM U律","","数量：89540716字节, 比例：1.21% ","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL2数量: 309296458字节, 比例: 49.92%","0000: 0589; CID编号: 14","(2012-6-17)标准AAL2; CID承载业务G711 PCM U律","","数量：89572180字节, 比例：1.21% ","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL2数量: 309296458字节, 比例: 49.92%","0000: 0589; CID编号: 15","(2012-6-17)标准AAL2; CID承载业务G711 PCM U律","","数量：89649652字节, 比例：1.21% ","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL2数量: 309296458字节, 比例: 49.92%","0000: 0589; CID编号: 16","(2012-6-17)标准AAL2; CID承载业务G711 PCM U律","","数量：89648864字节, 比例：1.21% ","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL2数量: 309296458字节, 比例: 49.92%","0000: 0589; CID编号: 17","(2012-6-17)标准AAL2; CID承载业务G711 PCM U律","","数量：89632132字节, 比例：1.21% ","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL2数量: 309296458字节, 比例: 49.92%","0000: 0589; CID编号: 18","(2012-6-17)标准AAL2; CID承载业务G711 PCM U律","","数量：89655072字节, 比例：1.21% ","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL2数量: 309296458字节, 比例: 49.92%","0000: 0589; CID编号: 19","(2012-6-17)标准AAL2; CID承载业务G711 PCM U律","","数量：89638616字节, 比例：1.21% ","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL2数量: 309296458字节, 比例: 49.92%","0000: 0589; CID编号: 20","(2012-6-17)标准AAL2; CID承载业务G711 PCM U律","","数量：89586344字节, 比例：1.21% ","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL2数量: 309296458字节, 比例: 49.92%","0000: 0589; CID编号: 21","(2012-6-17)标准AAL2; CID承载业务G711 PCM U律","","数量：89647524字节, 比例：1.21% ","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL2数量: 309296458字节, 比例: 49.92%","0000: 0589; CID编号: 22","(2012-6-17)标准AAL2; CID承载业务G711 PCM U律","","数量：89651860字节, 比例：1.21% ","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 619561462字节, 比例: 5.75%","AAL2数量: 309296458字节, 比例: 49.92%","0000: 0589; CID编号: 23","(2012-6-17)标准AAL2; CID承载业务G711 PCM U律","","数量：89660720字节, 比例：1.21% ","",""
