"SPE号","ATM数据","百分比","适配层/百分比例","VPI/VCI","承载格式","协议/端口","比例","主要IP","主要用户"
"STM-1 SPE(155M)","有效数据","AAL数量: 5531415226字节, 比例: 25.50%","AAL1数量: 3687897600字节, 比例: 66.67%","0000: 0244","(2012-6-2)AAL1结构化24",""," 数量：545690624字节, 比例：0.62%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 5531415226字节, 比例: 25.50%","AAL1数量: 3687897600字节, 比例: 66.67%","0000: 0298","(2012-6-2)AAL1结构化24",""," 数量：544056320字节, 比例：0.61%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 5531415226字节, 比例: 25.50%","AAL1数量: 3687897600字节, 比例: 66.67%","0000: 0356","(2012-6-2)AAL1结构化24",""," 数量：544535552字节, 比例：0.62%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 5531415226字节, 比例: 25.50%","AAL1数量: 3687897600字节, 比例: 66.67%","0000: 0243","(2012-6-2)AAL1结构化24",""," 数量：544959488字节, 比例：0.62%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 5531415226字节, 比例: 25.50%","AAL1数量: 3687897600字节, 比例: 66.67%","0000: 03B3","(2012-6-2)AAL1结构化24",""," 数量：3948297216字节, 比例：4.46%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 5531415226字节, 比例: 25.50%","AAL1数量: 3687897600字节, 比例: 66.67%","0000: 0244","(2012-6-2)AAL1结构化24",""," 数量：545690624字节, 比例：0.62%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 5531415226字节, 比例: 25.50%","AAL1数量: 3687897600字节, 比例: 66.67%","0000: 0298","(2012-6-2)AAL1结构化24",""," 数量：544056320字节, 比例：0.61%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 5531415226字节, 比例: 25.50%","AAL1数量: 3687897600字节, 比例: 66.67%","0000: 0356","(2012-6-2)AAL1结构化24",""," 数量：544535552字节, 比例：0.62%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 5531415226字节, 比例: 25.50%","AAL1数量: 3687897600字节, 比例: 66.67%","0000: 0243","(2012-6-2)AAL1结构化24",""," 数量：544959488字节, 比例：0.62%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 5531415226字节, 比例: 25.50%","AAL1数量: 3687897600字节, 比例: 66.67%","0000: 03B3","(2012-6-2)AAL1结构化24",""," 数量：3948297216字节, 比例：4.46%","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 5531415226字节, 比例: 25.50%","AAL2数量: 1772665360字节, 比例: 32.05%","0000: 0184; CID编号: 11","(2012-6-2)标准AAL2; CID承载业务G711 PCM U律","","数量：667909380字节, 比例：1.57% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 5531415226字节, 比例: 25.50%","AAL2数量: 1772665360字节, 比例: 32.05%","0000: 00FC; CID编号: 11","(2012-6-2)标准AAL2; CID承载业务G711 PCM U律","","数量：669938348字节, 比例：1.57% ","",""
"STM-1 SPE(155M)","有效数据","AAL数量: 5531415226字节, 比例: 25.50%","AAL2数量: 1772665360字节, 比例: 32.05%","0000: 00FC; CID编号: 12","(2012-6-2)标准AAL2; CID承载业务G711 PCM U律","","数量：670824060字节, 比例：1.58% ","",""
